0.png	\int _ { - \epsilon } ^ \infty d l \: { \rm e } ^ { - l \zeta } \int _ { - \epsilon } ^ \infty d l ' { \rm e } ^ { - l ' \zeta } l l ' { l ' - l \over l + l ' } \{ 3 \, \delta ' ' ( l ) - { 3 \over 4 } t \, \delta ( l ) \} = 0 .
244.png	\Omega ( z ) = \int _ { \c C } d w \rho ( w ) \ln ( z - w )
252.png	
257.png	\left \{ Q _ { a } , Q _ { b } \right \} _ { { \footnotesize P B } } = f _ { a b c } Q _ { c } \; ,
323.png	\left \{ \begin {array} { r c l } \displaystyle \partial ^ { m } h _ { m } - \frac { 1 } { 2 } \dot { h } ' & = & 0 , \vspace { 2 m m } \\ \displaystyle \partial ^ { n } h _ { m n } - \frac { 1 } { 2 } \partial _ { m } h ' & = & 0 , \vspace { 2 m m } \\ \displaystyle \partial ^ { m } \theta _ { m } - \frac { 1 } { 2 } h ' & = & 0 . \end {array} \right .
405.png	k = \pm \omega \frac { \sqrt { 1 + B ^ 2 - E ^ 2 } \mp E B } { 1 - E ^ 2 } \, ,
468.png	g _ 1 ( K , \mu ) = { 1 \over 2 } \, { u _ 1 ^ 2 C _ 1 ( \mu ) \over ( K + \sqrt { K ^ 2 + \mu ^ 2 } ) } - { 1 \over 2 } { K + \sqrt { K ^ 2 + \mu ^ 2 } \over C _ 1 ( \mu ) } \, ,
475.png	E ( \alpha = 0 , n , \omega , \beta ) = \frac { 2 \omega + 3 } { 2 \omega + 4 } E ( \alpha = 0 , n , \omega = \infty , \beta ) \ . \
485.png	\sum _ { n _ 1 = - \infty } ^ { \infty \prime } { { e ^ { i \pi n _ 1 ( \alpha - 2 \sigma ) } } \over { n _ 1 { \rm S i n } ( \pi n _ 1 \alpha ) } } \quad .
490.png	\{ \bar \mathcal V ( x ) , \Phi ( x ' ) \} = ( \Phi ( x ) + ( \bar h - 1 ) \Phi ( x ' ) ) \, \delta ' ( x - x ' ) + \ldots .
559.png	
595.png	\begin {array} { c l } F ( x , e ) & = F ^ r ( x , r ) \\ [ 4mm ] & = \frac { 1 } { 2 } \left ( \begin {array} { c c } L _ { \mu \nu } & 0 \\ [ 1mm ] 0 & 0 \end {array} \right ) { d x } ^ { \mu } \wedge { d x } ^ { \nu } + \frac { \lambda } { \mu } \left ( \begin {array} { c c } 0 & { - D _ { \mu } \phi } \\ - ( D _ { \mu } \phi ^ { \dag } ) ^ r & 0 \end {array} \right ) { d x } ^ { \mu } \otimes { \chi } \\ & + \frac { { \lambda } ^ { 2 } } { { \mu } ^ { 2 } } \left ( \begin {array} { c c } { \phi { \phi } ^ { \dag } - \frac { { \mu } ^ 2 } { \lambda ^ 2 } } & 0 \\ 0 & { \phi ^ r } ^ { \dag } { \phi } ^ r - \frac { \mu ^ 2 } { \lambda ^ 2 } \end {array} \right ) { \chi } \otimes { \chi } ; \\ [ 6mm ] \end {array}
618.png	V _ \mu \rightarrow \frac { i } { g } ~ \theta ( \mbox { \boldmath r } ) ~ \partial _ \mu ~ \theta ( \mbox { \boldmath r } ) + \theta ( \mbox { \boldmath r } ) ~ V _ \mu ~ \theta ^ \dag ( \mbox { \boldmath r } )
627.png	\gamma _ { i } ( \beta \sqrt { - \triangle } ) = \int _ 0 ^ \infty \! \! { \mathrm d } t \, \, g _ { i } ( t ) \left [ \frac { 2 \pi } { \beta { \sqrt { - \triangle } } \, t } \, \frac { 1 } { { \mathrm s h } ( 2 \pi t / ( \beta { \sqrt { - \triangle } } ) ) } - \frac { 1 } { t ^ 2 } \right ] ,
634.png	\psi ( x ) \mapsto \psi ' ( x ) \equiv e ^ { i \theta ( x ) } \psi ( x ) \ , \hspace { 2 e x } \overline \psi ( x ) \mapsto \overline { \psi ' } ( x ) \equiv \overline \psi ( x ) e ^ { - i \theta ( x ) } \ .
644.png	N \approx L ^ 2 \left [ 1 + \frac { \gamma \beta L } { 2 ( 1 - \gamma L ) ^ 2 } \right ] .
653.png	{ \tau _ { j k } \over c _ 2 \tau \sp 2 _ { j m } } =
679.png	\lim _ { q \to 1 } { 1 \over 2 } \Big [ Z ^ { a | a } ( L ; q ) - Z ^ a ( L ; q ) \Big ] = \cases { \frac { 1 } { 2 } \left ( 2 ^ { L - 1 } - 2 ^ { \lfloor \frac { L } { 2 } \rfloor } \right ) , & a = 1 o r + \cr \frac { 1 } { 2 } \left ( 2 ^ L - 2 ^ { \lfloor \frac { L + 1 } { 2 } \rfloor } \right ) \rule { 0in } { .25in } , & a = 2 o r F }
684.png	H _ { \mu \nu } = \mu \delta _ { \mu , \nu } , \quad E ( \alpha ) _ { \mu \nu } = \delta _ { \mu - \nu , \alpha } .
698.png	\left . { \delta I / { \delta \phi } } \right | _ { \phi = \phi _ 0 } = 0 ~ ~ ~ .
789.png	{ F } ^ { \infty } _ { \mathrm { r e n } } = - \frac 1 { 8 \pi ^ 2 } \int \! { \mathrm d } ^ 3 x \, { g } ^ { 1 / 2 } { \mathrm t r } \Big \{ R _ { i j } \gamma _ 1 ( - \triangle ) R ^ { i j } + R \gamma _ 2 ( - \triangle ) R + { \mathrm { O } } [ \Re ^ 3 ] \Big \} .
792.png	G _ { \mbox { \tiny m u l t i p l e t } } = U ( 1 ) \times S U ( 2 ) \times S U ( 2 j + 1 ) _ f \times C P .
836.png	\phi _ i = \left ( \begin {array} { c c c c c } a _ i ^ 1 & & & & \\ & & & & \\ & & \ddots & & \\ & & & & \\ & & & & a _ i ^ N \end {array} \right ) ,
860.png	{ d H _ 2 \over d t } = \nu \int \sp { 1 / a } k \sp 2 H _ k d k \propto \nu a \sp { - 6 - 4 \Delta _ \psi } \propto \nu \sp { 3 + \Delta _ \phi + \Delta _ \psi \over \Delta _ \phi - \Delta _ \psi } \, .
921.png	S [ \vec r ] \ = \ \int d ^ D \! x \ { 1 \over 2 } ( \nabla _ { \! x } \vec r ) ^ 2 \ + \b \ \int d ^ D \! x \int d ^ D \! y \ \delta ^ { d } ( \vec r ( x ) - \vec r ( y ) ) \ .
926.png	P ^ - = { m ^ 2 \over 4 \pi } \int _ { 0 } ^ { \infty } { d k \over k ^ 2 } \left [ b ^ { \dag } ( k ) b ( k ) + d ^ { \dag } ( k ) d ( k ) \right ] + { 1 \over 2 } \int _ { 0 } ^ { \infty } { d p \over p ^ 2 } a ^ { \dag } ( p ) a ( p ) \ .
936.png	z _ s = \sqrt { \frac { 2 } { ( n + 1 ) } } \sin q s \qquad \qquad \qquad \qquad 1 \leq s \leq n
953.png	\begin {array} { c } { \small \begin {picture} ( 3 0 , 3 0 ) \put ( 5 , 5 ) { \line ( 1 , 2 ) { 5 } } \put ( 5 , 2 5 ) { \line ( 1 , - 2 ) { 5 } } \put ( 2 0 , 1 5 ) { \line ( 1 , - 2 ) { 5 } } \put ( 2 0 , 1 5 ) { \line ( 1 , 2 ) { 5 } } \put ( 1 0 , 1 5 ) { \line ( 1 , 0 ) { 1 0 } } \put ( 0 , 2 7 ) { j _ 1 } \put ( 2 6 , 2 7 ) { j _ 2 } \put ( 0 , 1 ) { j _ 3 } \put ( 2 6 , 1 ) { j _ 4 } \put ( 1 3 , 9 ) { j } \end {picture} } \end {array} = \sum _ { j ^ \prime } ( \! - \! 1 ) ^ { j _ 2 \! + \! j _ 3 \! + \! j \! + \! j ^ \prime } [ ( 2 j + 1 ) ( 2 j ^ \prime + 1 ) ] ^ { \frac { 1 } { 2 } } \left \{ \begin {array} { c c c } j _ 1 & j _ 2 & j \\ j _ 4 & j _ 3 & j ^ \prime \end {array} \right \} \begin {array} { c } { \small \begin {picture} ( 3 0 , 3 0 ) \put ( 5 , 5 ) { \line ( 2 , 1 ) { 1 0 } } \put ( 5 , 2 5 ) { \line ( 2 , - 1 ) { 1 0 } } \put ( 1 5 , 1 0 ) { \line ( 2 , - 1 ) { 1 0 } } \put ( 1 5 , 2 0 ) { \line ( 2 , 1 ) { 1 0 } } \put ( 1 5 , 1 0 ) { \line ( 0 , 1 ) { 1 0 } } \put ( 0 , 2 7 ) { j _ 1 } \put ( 2 6 , 2 7 ) { j _ 2 } \put ( 0 , 1 ) { j _ 3 } \put ( 2 6 , 1 ) { j _ 4 } \put ( 9 , 1 2 ) { j ^ \prime } \end {picture} } \end {array} ,
955.png	: e ^ { i \hat { \varphi } ( \sigma ) } : \, = e ^ { i \hat { \chi } ^ \dagger ( \sigma ) } \, e ^ { i \hat { \chi } ( \sigma ) } .
959.png	K _ m ^ { \rm e f f } = X F ( M ^ { \dag } , M )
960.png	
976.png	\partial _ x A _ 0 - \partial _ 0 A _ x = E \, ,
991.png	\Omega ( a _ 0 , a _ 1 ; b _ 0 , b _ 1 ) = \left \langle { { \rm D e t } ( 1 - a _ 1 U ) \, { \rm D e t } ( 1 - b _ 1 \bar U ) \over { \rm D e t } ( 1 - a _ 0 U ) \, { \rm D e t } ( 1 - b _ 0 \bar U ) } \right \rangle \; .
1028.png	\Gamma ( s + 2 n - 1 ) \zeta _ R ( s ) \zeta ( \frac { s + 2 n - 1 } { 2 } | \L _ 3 ) \; \beta ^ { - s } \: , \nonumber
1030.png	: \psi _ { r , a } ^ * \psi _ { s , b } : = \psi _ { r , a } ^ * \psi _ { s b } - \langle 0 | \psi _ { r , a } ^ * \psi _ { s b } | 0 \rangle ,
1035.png	\phi ( \sigma ) = U \, e ^ { i \, ( N \sigma + \varphi ( \sigma ) ) } ,
1064.png	U _ { ( x _ 1 , x _ 2 ) } \ \rightarrow \, G a m m a _ 1 ^ { x _ 1 } \Gamma _ 2 ^ { x _ 2 } U ( \Gamma _ 2 ^ \dag ) ^ { x _ 2 } ( \Gamma _ 1 ^ \dag ) ^ { x _ 1 } ,
1082.png	C ( \theta ) = \left \{ \begin {array} { l } \cot { \theta } \hspace { 0 . 5 c m } { \rm f o r } \hspace { 0 . 3 c m } k = + 1 , \\ 0 \hspace { 0 . 5 c m } { \rm f o r } \hspace { 0 . 3 c m } k = 0 , \\ \coth { \theta } \hspace { 0 . 5 c m } { \rm f o r } \hspace { 0 . 3 c m } k = - 1 , \end {array} \right . \
1095.png	
1113.png	\beta _ { i \bar \jmath } = - \frac 1 { 2 \pi } R _ { i \bar \jmath } - \frac { 4 \zeta ( 3 ) } { 3 ( 4 \pi ) ^ 4 } \partial _ i \partial _ { \bar \jmath } \left [ R _ { k \bar l m \bar n } R ^ { p \bar l q \bar n } R _ p { } ^ k { } _ q { } ^ m - R _ { k \bar l m \bar n } R ^ { m \bar n p \bar q } R _ { p \bar q } { } ^ { k \bar l } \right ] + \ldots
1146.png	A _ { \mu } = \frac { 1 } { 2 q } \frac { i ( \overline { \psi } \gamma _ { \mu } \slash { \partial } \psi - \overline { \psi } \overleftarrow { \slash { \partial } } \gamma _ { \mu } \psi ) - 2 m j _ \mu } { \overline { \psi } \psi } .
1187.png	
1207.png	\lbrack 1 , 1 \rbrack _ { Z _ 2 } = \lbrack 1 , \gamma \rbrack _ { Z _ 2 } = 0 , \quad \lbrack \gamma , \gamma \rbrack _ { Z _ 2 } = - 2 .
1213.png	\begin {array} { c c l } \vspace { . 2 c m } & & \omega ^ 2 ( x ) = - { \rm T r } \Big [ \Big ( W ' ( \hat \Phi ) + [ \hat X , \hat Y ] \Big ) \frac 1 { x - \hat \Phi } \Big ] \ , \\ & & \omega \Big ( x + i \frac m 2 \Big ) \omega \Big ( x - i \frac m 2 \Big ) = { \rm T r } \left ( \hat Y \hat X \frac 1 { x - \hat \Phi - i \frac m 2 } - \hat X \hat Y \frac 1 { x - \hat \Phi + i \frac m 2 } \right ) \ . \end {array}
1242.png	
1355.png	\mu _ { R S } \hspace * { 2 m m } ^ { A } = \eta ^ A \; \frac { A _ { i j } } { 2 } n ^ { i } _ R n ^ { j } _ S = \eta ^ { A } \; \frac { 1 } { 2 F ^ 2 } \xi _ { [ 0 , i } \xi _ { j ] } n ^ { i } _ R n ^ { j } _ S ,
1358.png	n _ { L } = 2 d _ { { \bf r } } K [ { \overline A } ] \, , \qquad n _ { R } = 0 \, \hspace { 1 c m } { \rm w h e n } \hspace { 0 . 5 c m } F _ { \mu \nu } [ A ] = \tilde { F } _ { \mu \nu } [ A ]
1362.png	{ \cal L } = \frac { 1 } { 4 } ( F _ { \mu \nu } ^ { a } ) ^ { 2 } + \overline { \psi } _ { \mu } ^ { i } \left [ D \! \! \! \! \slash ^ { i j } \psi _ { \mu } ^ { j } - \frac { 1 } { 2 } \gamma _ { \alpha } D _ { \mu } ^ { i j } \psi _ { \alpha } ^ { j } - \frac { 1 } { 2 } \gamma _ { \mu } D _ { \alpha } ^ { i j } \psi _ { \alpha } ^ { j } + \frac { 3 } { 8 } \gamma _ { \mu } D \! \! \! \! \slash ^ { i j } \gamma _ { \alpha } \psi _ { \alpha } \right ] .
1370.png	K ( x _ { i + 1 } , x _ i ; \Delta t ) \sim \exp \left [ i \Delta t \left ( \frac { \mbox { d i s t } ^ 2 ( x _ { i + 1 } , x _ i ) } { 2 \, ( \Delta t ) ^ 2 } - V ( x _ i ) \right ) \right ]
1397.png	q _ { 1 } ( t ) = \frac { 1 } { \sqrt { 2 m _ { 1 } \omega _ { 1 } } } ( e ^ { - i \omega _ { 1 } t } ( c A _ { 1 } ( 0 ) + s A _ { 2 } ( 0 ) ) + e ^ { i \omega _ { 1 } t } ( c A _ { 1 } ( 0 ) + s A _ { 2 } ( 0 ) ) ^ { \dag } ) ,
1454.png	A _ a = p _ a + \frac { 1 } { 2 } i \hat { D } _ a \qquad J _ a ^ { ~ b c } = \hat { J } e ^ \mu _ a R _ { \mu \nu } ^ { b c } \frac { \partial } { \partial p _ \nu }
1519.png	v - v ^ { I I } _ { 0 } = - \frac { p _ { x } } { p _ { v } } ( x - x ^ { I I } _ { 0 } ) - \frac { p _ { y } } { p _ { v } } y - y ^ { I I } _ { 0 } +
1521.png	\begin {array} { r c l c r c l } \psi ^ { \prime } _ { - } & = & e ^ { i \theta ( x ) } \psi _ { - } & \quad \quad & \psi ^ { \prime } _ { + } & = & \psi _ { + } \nonumber \\ \psi ^ { \prime \dag } _ { - } & = & \psi ^ { \dag } _ { - } e ^ { - i \theta ( x ) } & \quad \quad & \psi ^ { \prime \dag } _ { + } & = & \psi ^ { \dag } _ { + } \nonumber \\ \lambda _ { - } & = & \lambda _ { - } ( \theta ) & & & & \quad , \end {array}
1537.png	p ^ \alpha _ i = p ^ \beta _ j \frac { \d x ^ j _ \beta } { \d x ^ i _ \alpha } + \phi ^ { \alpha \beta } _ i \, .
1579.png	{ [ H ^ { ( 2 ) } , G _ { s ' } ] } = - \frac { i } { \Im _ { s ' } } v ^ { ( 1 ) } _ { s ' } \; ; \; \; \; \; \; { [ G _ { s ' } , v ^ { ( 1 ) } _ { - t ' } ] } = i \delta _ { s ' t ' } ,
1588.png	L _ + = \left ( \matrix { D & ( 1 - q ^ 2 ) B \cr \cr 0 & D ^ { - 1 } \cr } \right ) , \ \L _ - = \left ( \matrix { D ^ { - 1 } & 0 \cr \cr ( q ^ 2 - 1 ) C & D \cr } \right ) \ ,
1658.png	{ \mathrm d } s ^ 2 = { g } _ { \mu \nu } { \mathrm d } x ^ \mu { \mathrm d } x ^ \nu = { \mathrm d } \tau ^ 2 + { g } _ { i j } { \mathrm d } x ^ i { \mathrm d } x ^ j ~ ,
1661.png	A = { q \over r } \cdot { r + { 1 \over 2 } ( P _ 1 + P _ 2 ) \over r + P _ 1 } \ , \
1733.png	\ln D = - \frac { 1 } { 2 } \frac { d } { d s } \frac { 1 } { \Gamma ( s ) } \int _ 0 ^ { \infty } d T \ T ^ { s - 1 } e ^ { - m ^ 2 T } \mbox { t r } \: e ^ { - T ( - \nabla _ { \mu } \nabla _ { \mu } + \sigma ^ { \mu \nu } F _ { \mu \nu } ) } \raisebox { - 9 p t } { \rule { 0.4pt } { 20pt } { \scriptstyle s = 0 } } \label 9
1777.png	\backslash \! \! \! \slash ( \gamma _ { 1 } , \ldots , \gamma _ { 2 n } ) = < { \rm P m } \cdot \prod _ { j = 1 } ^ { 2 n } { \cal O } _ { \gamma _ { j } } > .
1792.png	\frac { A ( S _ N ) } { S _ N } \sp S _ N ( \textup { p e r m u t a t i o n } ) \subset A u t ( g )
1811.png	
1844.png	Z = \int { \cal D } [ q , \eta , { \bar \eta } , b ] { \cal D } [ \alpha ] | \zeta | \sqrt { g } \exp ( - S _ \psi [ q ^ s , \alpha _ a , \eta _ a , \bar { \eta } _ a , b _ a ] ) ,
1850.png	\vec { \cal P } = \vec { n } \frac { s - s ' } { 2 \sqrt { s ' } } , \quad { \cal P } _ { 0 } = \frac { s + s ' } { 2 \sqrt { s ' } } \ .
1869.png	{ \cal P } _ { Y X } ( Y X ) = \sum ^ n _ { k = 0 } a _ k ( Y X ) ^ k = 0 .
1935.png	\Gamma ^ 0 { \not \Gamma } = { \cal F } ^ { \dag } { \cal F } , ~ ~ ~ 1 = { \not \Gamma } \, \Gamma ^ 0 ( { \cal F } ^ { \dag } { \cal F } ) , ~ ~ ~ { \not \Gamma } \equiv \Gamma ^ a f ^ \mu _ { ~ a } e ^ 0 _ \mu ,
1940.png	\omega \sp { ( N ) } = \sum _ { j } \frac { d a _ { j } \sp { o u t } } { a _ { j } \sp { o u t } } \wedge d \eta _ { j } \sp { o u t } = \sum _ { j } \frac { d a _ { j } \sp { i n } } { a _ { j } \sp { i n } } \wedge d \eta _ { j } \sp { i n } .
1944.png	{ } \bar { g } ^ { \mu \nu } ( Y ) = \left ( \begin {array} { c c } - 1 & 0 \\ 0 & \gamma ^ { i j } ( Y ) \end {array} \right ) ,
2013.png	\alpha = - 3 . 4 7 , \quad - 2 . 4 7 , \quad - 1 . 4 8 , \quad - 0 . 4 8 , \quad - 0 . 5 2 ,
2070.png	\dot { x } = \frac { \i } { \hbar } [ H , x ] = K ^ 2 [ \frac { \i } { \hbar } { \textstyle ( 1 - ( \frac { q } { \xi } ) ^ 4 ) p ^ 2 x + q \xi ^ { - 4 } ( ( \frac { q } { \xi } ) ^ 2 + 1 ) { \mit \Lambda } ^ 2 p } ] ,
2139.png	
2140.png	{ \mathcal { D } } { \mathcal { F } } \equiv \prod \limits _ { k = 1 } ^ { n _ f } d { \bf { \chi } } _ k ^ { \dag } d { \bf { \chi } } _ k d { \bf { \varphi } } ^ { \dag } _ k d { \bf { \varphi } } _ k , \; \; { \mathcal { D } } { \mathcal { B } } \equiv \prod \limits _ { l = 1 } ^ { n _ b } d { \bf { s } } _ l ^ { \dag } d { \bf { s } } _ l d { \bf { p } } ^ { \dag } _ l d { \bf { p } } _ l
2169.png	S _ 1 ^ { B W } [ \beta , \epsilon , r _ B ] = - \mbox { T r } ( \hat { \rho } ^ H _ \epsilon ( \beta ) \log \hat { \rho } ^ H _ \epsilon ( \beta ) ) = \beta ^ 2 { \partial \over \partial \beta } { \cal F } ( \beta ) ~ ~ ~ ,
2206.png	H = O ( L _ 0 ) \times U \left ( { \textstyle \frac { L _ 1 } { 2 } } \right ) \times \cdots U \left ( { \textstyle \frac { L _ { M - 1 } } { 2 } } \right ) \times O ( L _ M ) .
2299.png	\overline { \partial } \chi - \chi \overline { \partial } \varphi _ { 2 } + ( { 1 \o { 2 \lambda _ 1 ^ 2 } } - 1 ) { { \chi ^ { 2 } \overline { \partial } \psi } \o \Delta } e ^ { - \varphi _ { 2 } }
2363.png	\vec { \chi } ( x ) = \left ( \begin {array} { c } \vec { \chi } _ { \rm v e c } ( x ) \\ \vec { \chi } _ { \rm g r } ( x ) \end {array} \right ) = \left ( \begin {array} { c } A ( x ) \, \vec { n } \\ B ( x ) \, \vec { p } \end {array} \right ) \ , \qquad \partial _ i \partial _ i \vec { \chi } ( x ) = 0 \ ,
2415.png	\sum _ P ( - 1 ) ^ { ( \mathbf { N } ( P ) - 1 ) } ( \mathbf { N } ( P ) - 1 ) !
2429.png	e ( D e f ( \Sigma ) ^ m ) = { \l _ 1 - \l _ 2 \over d _ 1 } + { \l _ 1 \over d _ 2 } .
2455.png	L _ 1 = p \cdot a + m b , \quad L _ 2 = \frac 1 2 \left ( a \cdot a + b ^ 2 \right ) , \quad L _ 0 = p ^ 2 + m ^ 2 , \quad L _ { - n } = L _ n { } ^ { \dag } .
2499.png	\omega _ 1 , \omega _ 2 \in H ^ { 1 , 1 } _ I ( M ) , \ \ ( \omega _ 1 , \omega _ I ) _ { \c H } = ( \omega _ 2 , \omega _ I ) _ { \c H } = ( \omega _ 1 , \omega _ 2 ) _ { \c H } = 0 . \ \
2502.png	
2526.png	\frac { { \rm P f } Q } { { \rm P f } \theta } e ^ { \l Q ^ { - 1 } } W _ k ( x )
2528.png	\Delta ( W _ 1 ) ^ { i t } S ( W _ 2 ) \Delta ( W _ 1 ) ^ { - i t } = S ( \l ( W _ 1 , t ) W _ 2 ) ;
2541.png	F ( x , \sigma ) = \i \kappa [ ( \alpha _ A \beta ^ A + x \alpha _ A \acute { \alpha } ^ A ) \bar { \alpha } ^ { B ' } \bar { w } _ { B ' } ( x , \sigma ) - \alpha ^ A w _ { A } ( x , \sigma ) ( \bar { \alpha } _ { B ' } \bar { \beta } ^ { B ' } + x \bar { \alpha } _ { B ' } \acute { \bar { \alpha } } ^ { B ' } ) ] .
2547.png	\delta \Psi ( C ; 0 ) = { 1 \over 2 } P _ { \mu \nu } ( \bar s ) \delta \sigma ^ { \mu \nu } ( \bar s ) \Psi ( C ; 0 ) .
2562.png	2 \alpha _ 1 + 3 \alpha _ 2 + 4 \alpha _ 3 + 2 \alpha _ 4 = - u _ 1 + u _ 2 \rightarrow B _ { 2 } ^ 1 = \left [ B _ { \bar 1 } ^ 0 , B _ { 2 } ^ 0 \right ] = D _ { 1 0 } ^ { \overline { 1 1 } } + D _ { 1 2 } ^ { \bar 9 } - D _ { 1 3 } ^ { \bar 7 }
2580.png	\left . \tilde { { \cal R } } ( g ) \right \vert \sb { \phi ( \tau ) = n x ( \tau ) } = { \cal R } ( g ) , \quad \left . \tilde { K } \right \vert \sb { \phi ( \tau ) = n x ( \tau ) } = K , \quad \left . \tilde { B } \right \vert \sb { \phi ( \tau ) = n x ( \tau ) } = B ,
2614.png	\begin {array} { l } \displaystyle { I = \exp \left ( { g ^ 2 \over 8 { \rm \Omega } ^ 4 } \right ) \sqrt { { \rm \Omega } ^ 2 \over { \rm \Omega } ^ 4 + { g ^ 2 \over 2 } } \left ( 1 + { 3 g ^ 4 \over 8 \left ( { \rm \Omega } ^ 4 + { g ^ 2 \over 2 } \right ) ^ 2 } \right . } \\ \noalign { \vspace { 1 e x } } \displaystyle { \hspace { 6 e x } \left . - { 3 5 g ^ 6 \over 2 4 \left ( { \rm \Omega } ^ 4 + { g ^ 2 \over 2 } \right ) ^ 3 } + { 3 2 9 g ^ 8 \over 1 2 8 \left ( { \rm \Omega } ^ 4 + { g ^ 2 \over 2 } \right ) ^ 4 } - { 1 0 5 g ^ { 1 0 } \over 6 4 \left ( { \rm \Omega } ^ 4 + { g ^ 2 \over 2 } \right ) ^ 5 } + O ( \mbox { 4 - l o o p } ) \right ) \ . } \end {array}
